IMPPAT phytochemical identifier,ADMET_Classification,Molecule Name,SMILES,Lipinski_Rule_of_5_Pass
IMPHY010961,0,,,
IMPHY010984,0,,,
IMPHY011396,1,4-Carvomenthenol,CC1=CCC(CC1)(O)C(C)C,1
IMPHY011453,1,3-Hexenoic acid,CC/C=C/CC(=O)O,1
IMPHY011541,1,Scopoletin,COc1cc2ccc(=O)oc2cc1O,1
IMPHY011609,0,,,
IMPHY011670,0,,,
IMPHY011737,0,,,
IMPHY011933,0,,,
IMPHY011960,1,Cinnamic acid,OC(=O)/C=C/c1ccccc1,1
IMPHY011974,1,4-Hydroxycinnamic acid,OC(=O)/C=C/c1ccc(cc1)O,1
IMPHY012021,0,,,
IMPHY012050,0,,,
IMPHY012058,1,Linalool,C=CC(CCC=C(C)C)(O)C,1
IMPHY012080,1,Diphenyl ether,c1ccc(cc1)Oc1ccccc1,1
IMPHY012089,1,Valeric acid,CCCCC(=O)O,1
IMPHY012100,1,Nonanoic acid,CCCCCCCCC(=O)O,1
IMPHY012160,1,alpha-Terpineol,CC1=CCC(CC1)C(O)(C)C,1
IMPHY012171,0,,,
IMPHY012294,1,2-Hexyl-1-decanol,CCCCCCCCC(CCCCCC)CO,1
IMPHY012435,0,,,
IMPHY012626,1,Dihydro-beta-ionol,CC(CCC1=C(C)CCCC1(C)C)O,1
IMPHY012654,1,Nerol,OC/C=C(CCC=C(C)C)/C,1
IMPHY012723,1,Linolenic acid,CC/C=CC/C=CC/C=CCCCCCCCC(=O)O,1
IMPHY012920,1,"2-Furanmethanol, 5-ethenyltetrahydro-alpha,alpha,5-trimethyl-, cis-",C=C[C@@]1(C)CC[C@H](O1)C(O)(C)C,1
IMPHY012989,0,,,
IMPHY013083,0,,,
IMPHY014854,0,,,
IMPHY014885,1,"1-Isopropyl-4,7-dimethyl-1,3,4,5,6,8a-hexahydro-4a(2H)-naphthalenol",CC1=CC2C(CC1)(O)C(C)CCC2C(C)C,1
IMPHY014906,1,Cedrelanol,CC1=C[C@@H]2[C@@H](CC1)[C@@](C)(O)CC[C@H]2C(C)C,1
IMPHY014908,0,,,
IMPHY014923,1,Geraniol,OC/C=C(/CCC=C(C)C)C,1
IMPHY014989,1,trans-Linalool oxide,C=C[C@]1(C)CC[C@H](O1)C(O)(C)C,1
IMPHY015022,1,Nerolidol,C=CC(CC/C=C(/CCC=C(C)C)C)(O)C,1
IMPHY015116,0,,,
IMPHY015133,0,,,
IMPHY015179,0,,,
IMPHY015234,1,"2,5-Octanedione",CCCC(=O)CCC(=O)C,1
IMPHY015271,1,2-Methyloctan-1-ol,CCCCCCC(CO)C,1
IMPHY015918,0,,,
IMPHY016973,1,Diisopentyl ether,CC(CCOCCC(C)C)C,1
IMPHY017020,1,3-Methyl-4-penten-1-ol acetate,C=CC(CCOC(=O)C)C,1
IMPHY017078,0,,,
IMPHY017085,1,3-Ethylcyclopentanone,CCC1CCC(=O)C1,1
IMPHY017092,0,,,
IMPHY017107,1,"3,5-Dimethyl-2-cyclohexen-1-one",CC1CC(=CC(=O)C1)C,1
IMPHY017175,0,,,
IMPHY017345,0,,,
IMPHY017352,1,4-Hexen-2-one,C/C=C/CC(=O)C,1
IMPHY017393,1,"4-(2,4,4-Trimethyl-cyclohexa-1,5-dienyl)-but-3-en-2-one",CC(=O)/C=C/C1=C(C)CC(C=C1)(C)C,1
IMPHY017410,1,"Hexanoic acid, 4-hexen-1-yl ester",CCCCCC(=O)OCCC/C=C/C,1
IMPHY017435,0,,,
IMPHY017452,0,,,
IMPHY017456,0,,,
IMPHY017468,1,"Propanoic acid, 2-methyl-, 3-hydroxy-2,4,4-trimethylpentyl ester",CC(C(C(C)(C)C)O)COC(=O)C(C)C,1
IMPHY017481,1,"3,3-Dimethylhexanal",CCCC(CC=O)(C)C,1
IMPHY017514,1,1-Ethyl-1H-pyrrole-2-carbaldehyde,O=Cc1cccn1CC,1
IMPHY017516,1,"1-Cyclohexen-1-ol, 2,6-dimethyl-, acetate",CC(=O)OC1=C(C)CCCC1C,1
